CODA Motion Analysis Text
Full body capture of a gymnast performing a cartwheel.
Time	Markers																																																																															
Time	R Toe.X	R Toe.Y	R Toe.Z	1.V	R Heel.X	R Heel.Y	R Heel.Z	2.V	R Ankle.X	R Ankle.Y	R Ankle.Z	3.V	R Knee.X	R Knee.Y	R Knee.Z	4.V	R Troch.X	R Troch.Y	R Troch.Z	5.V	R Pelvis.X	R Pelvis.Y	R Pelvis.Z	6.V	L Toe.X	L Toe.Y	L Toe.Z	7.V	L Heel.X	L Heel.Y	L Heel.Z	8.V	L Ankle.X	L Ankle.Y	L Ankle.Z	9.V	L Knee.X	L Knee.Y	L Knee.Z	10.V	R Shoulder.X	R Shoulder.Y	R Shoulder.Z	11.V	R Wrist.X	R Wrist.Y	R Wrist.Z	13.V	R Elbow.X	R Elbow.Y	R Elbow.Z	14.V	L Troch.X	L Troch.Y	L Troch.Z	15.V	L Pelvis.X	L Pelvis.Y	L Pelvis.Z	16.V	R Temple.X	R Temple.Y	R Temple.Z	19.V	L Temple.X	L Temple.Y	L Temple.Z	20.V	L Shoulder.X	L Shoulder.Y	L Shoulder.Z	22.V	L Elbow.X	L Elbow.Y	L Elbow.Z	23.V	L Wrist.X	L Wrist.Y	L Wrist.Z	24.V
(s)	(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	
0.19000	1533.60	-94.80	168.90	1	1650.00	-110.70	222.90	1	1588.70	-95.60	273.50	1	1511.70	-80.60	607.90	1	1710.20	-6.30	964.70	1	1693.10	-40.30	1043.80	1	1816.00	-166.00	70.50	1	0.00	0.00	0.00	0	1864.00	-131.90	172.80	1	1837.70	-204.50	523.90	1	1585.70	20.40	1429.10	0	0.00	0.00	0.00	0	0.00	0.00	0.00	0	1814.40	-276.50	965.10	1	1774.60	-255.80	1050.40	1	1337.10	-84.10	1517.70	1	1372.90	-171.50	1555.60	0	1571.50	-301.60	1480.00	1	1779.30	-484.40	1537.30	0	1949.20	-597.00	1499.30	1
0.19500	1508.40	-101.20	161.30	1	1623.40	-109.00	212.70	1	1567.90	-102.80	264.50	1	1497.40	-76.20	601.90	1	1695.60	-1.60	959.60	1	1679.70	-37.70	1038.20	1	1796.60	-172.40	68.40	1	0.00	0.00	0.00	0	1846.70	-132.80	168.50	1	1822.90	-204.80	519.70	1	1585.70	20.40	1429.10	0	0.00	0.00	0.00	0	0.00	0.00	0.00	0	1801.80	-276.40	961.70	1	1763.20	-253.80	1046.60	1	1321.00	-86.00	1508.80	1	1337.80	-171.10	1536.90	1	1557.50	-304.00	1466.60	1	1779.30	-484.40	1537.30	0	1924.30	-557.50	1473.40	1
0.20000	1481.40	-103.10	154.90	1	1597.00	-104.70	202.50	1	1543.50	-100.20	256.20	1	1485.00	-77.00	595.70	1	1681.80	-0.30	954.20	1	1666.50	-36.00	1032.30	1	1778.30	-177.40	65.80	1	0.00	0.00	0.00	0	1830.30	-132.90	163.30	1	1806.60	-207.50	515.20	1	1525.10	47.00	1374.20	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	1788.30	-278.40	957.60	1	1750.30	-254.50	1042.50	1	1303.90	-85.60	1499.10	1	1320.80	-170.00	1527.60	1	1557.50	-304.00	1466.60	0	1779.30	-484.40	1537.30	0	1927.10	-577.60	1457.70	1
0.20500	1453.00	-101.70	149.20	1	1575.60	-113.60	191.10	1	1519.50	-100.90	248.40	1	1470.60	-73.50	589.10	1	1670.40	-0.90	948.40	1	1653.20	-34.10	1026.10	1	1760.50	-183.90	62.90	1	0.00	0.00	0.00	0	1813.00	-135.70	158.20	1	1791.00	-209.50	510.60	1	1525.10	47.00	1374.20	0	0.00	0.00	0.00	0	0.00	0.00	0.00	0	1776.10	-277.50	953.10	1	1738.20	-253.60	1038.00	1	1287.10	-84.90	1489.10	1	1303.90	-168.90	1517.70	1	1529.30	-310.40	1437.60	1	1779.30	-484.40	1537.30	0	1927.10	-577.60	1457.70	0
0.21000	1427.50	-109.20	142.80	1	1544.60	-103.40	183.20	1	1496.00	-102.30	240.80	1	1457.10	-72.60	583.00	1	1657.90	-0.60	942.50	1	1640.60	-33.00	1019.70	1	1742.70	-190.60	60.40	1	0.00	0.00	0.00	0	1795.40	-140.30	154.20	1	1777.60	-207.90	505.00	1	1497.40	50.80	1347.80	1	0.00	0.00	0.00	0	0.00	0.00	0.00	0	1762.50	-279.00	948.80	1	1724.70	-255.00	1033.00	1	1270.20	-84.60	1479.20	1	1287.80	-166.70	1507.90	1	1515.20	-313.10	1422.70	1	1779.30	-484.40	1537.30	0	1908.40	-566.60	1411.90	1
0.21500	1427.50	-109.20	142.80	0	1517.40	-102.00	174.00	1	1471.10	-101.80	233.70	1	1443.20	-71.60	576.40	1	1645.70	-0.50	936.10	1	1626.80	-30.70	1013.30	1	1726.30	-196.30	56.80	1	0.00	0.00	0.00	0	1795.40	-140.30	154.20	0	1761.50	-211.60	499.90	1	1497.40	50.80	1347.80	0	0.00	0.00	0.00	0	1478.90	57.80	1331.10	1	1750.30	-277.80	944.20	1	1711.10	-256.60	1027.90	1	1253.60	-84.00	1468.60	1	1270.90	-166.70	1497.60	1	1501.40	-315.50	1407.10	1	1779.30	-484.40	1537.30	0	1900.40	-564.10	1388.80	1
0.22000	1372.90	-112.20	133.10	1	1487.70	-93.80	165.50	1	1446.10	-101.30	226.90	1	1429.10	-69.00	570.10	1	1634.50	-4.30	929.40	1	1615.70	-33.50	1006.30	1	1711.60	-199.80	51.80	1	0.00	0.00	0.00	0	1763.70	-145.40	143.80	1	1746.40	-213.60	494.40	1	1467.00	61.30	1318.10	1	0.00	0.00	0.00	0	1478.90	57.80	1331.10	0	1735.60	-280.90	939.30	1	1698.40	-256.40	1022.70	1	1238.20	-86.50	1458.30	1	1254.20	-166.80	1487.10	1	1487.90	-317.30	1391.30	1	1779.30	-484.40	1537.30	0	1884.50	-545.30	1362.60	1
0.22500	1346.20	-114.30	128.50	1	1461.30	-97.50	155.70	1	1423.30	-107.70	219.40	1	1415.60	-71.40	563.20	1	1621.30	-1.40	922.80	1	1604.30	-35.40	998.80	1	1699.00	-201.10	46.90	1	0.00	0.00	0.00	0	1749.10	-147.60	138.20	1	1731.10	-216.30	488.60	1	1454.40	59.60	1303.90	1	0.00	0.00	0.00	0	1478.90	57.80	1331.10	0	1723.90	-278.20	934.00	1	1685.00	-257.50	1016.90	1	1221.50	-83.80	1447.40	1	1238.30	-164.90	1476.50	1	1475.50	-316.30	1375.50	1	1779.30	-484.40	1537.30	0	1869.20	-527.30	1336.80	1
0.23000	1319.10	-116.40	124.00	1	1433.60	-98.20	146.80	1	1399.40	-110.10	212.50	1	1401.80	-72.00	556.10	1	1609.00	-1.40	915.60	1	1590.10	-30.70	991.20	1	1685.50	-206.00	41.60	1	0.00	0.00	0.00	0	1735.80	-148.50	132.00	1	1716.20	-218.30	482.50	1	1440.10	60.50	1288.20	1	0.00	0.00	0.00	0	1478.90	57.80	1331.10	0	1709.10	-281.00	928.10	1	1672.20	-257.20	1011.00	1	1206.00	-85.40	1436.40	1	1221.60	-165.40	1465.40	1	1461.50	-318.70	1359.10	1	1779.30	-484.40	1537.30	0	1863.40	-533.90	1313.30	1
