CODA Motion Analysis: gait-cross-validation-input.mdf [testsubject_50hz_10hz_50hz.stp]
Graph data: "L.Knee Rotation"
Time	Marker Position								Force Analogue Channel	Segment EVB.x 			Segment Rotation		
Time	L.Toe.V	L.Toe.X	L.Toe.Y	L.Toe.Z	L.Heel.V	L.Heel.X	L.Heel.Y	L.Heel.Z	Analogue1.4	Pelvis.X	Pelvis.Y	Pelvis.Z	L.Knee.X	L.Knee.Y	L.Knee.Z
(s)		(mm)	(mm)	(mm)		(mm)	(mm)	(mm)	( )	( )	( )	( )	(deg)	(deg)	(deg)
1.00000	1	-2501.61	185.60	-12.21	1	-2682.80	147.15	82.56	-0.18	0.983305	0.161463	-0.083916	-4.702	19.327	9.663
1.00500	1	-2501.52	185.52	-12.11	1	-2681.56	147.23	84.88	-0.18	0.983037	0.162800	-0.084466	-4.743	19.492	9.588
1.01000	1	-2501.44	185.48	-12.07	1	-2680.25	147.33	87.30	0.03	0.982809	0.163828	-0.085124	-4.786	19.667	9.497
1.01500	1	-2501.36	185.42	-12.07	0	-2678.90	147.52	89.74	-0.09	0.982557	0.164809	-0.086133	-4.841	19.863	9.421
1.02000	1	-2501.29	185.37	-12.07	0	-2677.40	147.67	92.42	-0.09	0.982341	0.165560	-0.087158	-4.901	20.061	9.328
1.02500	1	-2501.18	185.33	-12.01	1	-2675.69	147.82	95.36	0.00	0.982174	0.166076	-0.088057	-4.945	20.266	9.228
1.03000	1	-2501.09	185.30	-12.07	1	-2674.03	147.93	98.17	0.03	0.982074	0.166309	-0.088729	-5.001	20.483	9.151
1.03500	1	-2500.98	185.27	-12.07	1	-2672.38	148.03	100.74	-0.18	0.981957	0.166457	-0.089730	-5.042	20.715	9.063
1.04000	1	-2500.90	185.21	-12.10	1	-2670.50	148.23	103.61	-0.09	0.981921	0.166249	-0.090513	-5.081	20.945	8.943
1.04500	1	-2500.82	185.19	-12.09	1	-2668.60	148.41	106.41	0.00	0.981924	0.165784	-0.091324	-5.122	21.188	8.832
1.05000	1	-2500.71	185.18	-12.12	1	-2666.63	148.58	109.29	0.00	0.981964	0.165176	-0.092000	-5.164	21.452	8.723
1.05500	1	-2500.60	185.16	-12.15	1	-2664.39	148.81	112.60	-0.09	0.982011	0.164414	-0.092862	-5.201	21.731	8.625
1.06000	1	-2500.45	185.16	-12.09	1	-2662.00	149.04	116.13	-0.09	0.982166	0.163355	-0.093087	-5.219	22.016	8.511
1.06500	1	-2500.28	185.21	-12.03	1	-2659.56	149.37	119.57	-0.09	0.982372	0.162149	-0.093026	-5.246	22.323	8.437
1.07000	1	-2500.07	185.28	-11.88	1	-2657.04	149.72	123.06	0.00	0.982634	0.160768	-0.092654	-5.274	22.650	8.360
1.07500	1	-2499.89	185.37	-11.74	1	-2654.38	150.02	126.60	0.03	0.982943	0.159202	-0.092076	-5.308	22.987	8.324
1.08000	1	-2499.72	185.46	-11.64	1	-2651.57	150.31	130.19	0.00	0.983293	0.157597	-0.091090	-5.341	23.342	8.296
1.08500	1	-2499.51	185.58	-11.48	1	-2648.66	150.57	133.78	-0.09	0.983656	0.155992	-0.089925	-5.370	23.721	8.279
1.09000	1	-2499.29	185.69	-11.28	1	-2645.55	150.81	137.51	0.00	0.984049	0.154262	-0.088609	-5.398	24.121	8.286
1.09500	1	-2499.07	185.81	-11.11	1	-2642.16	151.11	141.60	0.00	0.984455	0.152547	-0.087049	-5.426	24.549	8.281
1.10000	1	-2498.84	185.93	-10.92	1	-2638.65	151.44	145.60	-0.09	0.984860	0.150954	-0.085222	-5.453	25.012	8.271
1.10500	1	-2498.55	186.07	-10.47	1	-2634.88	151.67	149.82	-0.09	0.985257	0.149446	-0.083270	-5.486	25.507	8.261
1.11000	1	-2498.22	186.24	-9.91	1	-2630.81	151.88	154.33	0.00	0.985645	0.147982	-0.081275	-5.526	26.038	8.243
1.11500	1	-2497.84	186.40	-9.24	1	-2626.55	152.08	158.90	0.00	0.985980	0.146854	-0.079228	-5.564	26.626	8.226
1.12000	1	-2497.42	186.54	-8.54	1	-2622.09	152.21	163.41	0.00	0.986282	0.145942	-0.077125	-5.601	27.256	8.184
1.12500	1	-2496.90	186.64	-7.70	1	-2617.31	152.32	168.20	0.00	0.986562	0.145144	-0.075022	-5.656	27.933	8.142
1.13000	1	-2496.37	186.71	-6.90	1	-2612.34	152.33	172.95	0.00	0.986809	0.144559	-0.072869	-5.721	28.669	8.080
1.13500	1	-2495.80	186.72	-6.07	1	-2607.05	152.29	177.87	-0.09	0.986987	0.144251	-0.071051	-5.771	29.456	7.992
1.14000	1	-2495.12	186.68	-5.04	1	-2601.45	152.19	182.96	0.00	0.987132	0.144093	-0.069330	-5.847	30.286	7.932
1.14500	1	-2494.33	186.61	-3.70	1	-2595.54	151.96	188.19	0.00	0.987258	0.144065	-0.067578	-5.917	31.154	7.853
1.15000	1	-2493.37	186.52	-2.08	1	-2589.33	151.69	193.55	-0.09	0.987325	0.144372	-0.065926	-5.988	32.071	7.735
1.15500	1	-2492.24	186.41	-0.15	1	-2582.78	151.30	199.05	0.00	0.987357	0.144777	-0.064543	-6.074	33.017	7.623
1.16000	1	-2490.97	186.26	2.03	1	-2575.91	150.79	204.68	0.00	0.987379	0.145267	-0.063087	-6.167	33.996	7.480
1.16500	1	-2489.51	186.04	4.54	1	-2568.73	150.23	210.33	0.00	0.987383	0.145838	-0.061685	-6.263	35.023	7.374
1.17000	1	-2487.87	185.69	7.29	1	-2561.27	149.50	215.94	0.00	0.987356	0.146527	-0.060483	-6.358	36.070	7.214
1.17500	1	-2486.09	185.27	10.07	1	-2553.54	148.71	221.51	0.00	0.987319	0.147167	-0.059525	-6.442	37.140	7.040
1.18000	1	-2484.04	184.80	13.04	1	-2545.57	147.88	227.03	-0.09	0.987291	0.147800	-0.058415	-6.529	38.232	6.828
1.18500	1	-2481.64	184.32	16.25	1	-2537.48	147.02	232.31	0.00	0.987271	0.148441	-0.057100	-6.616	39.332	6.615
1.19000	1	-2478.75	183.83	19.75	1	-2529.33	146.14	237.43	0.00	0.987261	0.149034	-0.055726	-6.715	40.437	6.384
1.19500	1	-2475.24	183.28	23.48	1	-2521.15	145.20	242.44	0.00	0.987254	0.149559	-0.054423	-6.831	41.571	6.175
1.20000	1	-2471.00	182.66	27.44	1	-2513.03	144.14	247.21	-0.09	0.987263	0.149991	-0.053051	-6.953	42.718	5.971
1.20500	1	-2465.91	182.01	31.43	1	-2505.05	143.03	251.57	0.00	0.987282	0.150359	-0.051640	-7.085	43.873	5.789
1.21000	1	-2459.90	181.33	35.22	1	-2497.12	141.94	255.62	-0.09	0.987307	0.150633	-0.050344	-7.216	45.051	5.591
1.21500	1	-2452.92	180.60	38.81	1	-2489.15	140.84	259.37	0.00	0.987359	0.150727	-0.049021	-7.365	46.238	5.388
1.22000	1	-2444.94	179.78	42.32	1	-2481.11	139.68	262.88	0.00	0.987436	0.150694	-0.047549	-7.529	47.417	5.176
1.22500	1	-2436.05	178.88	45.87	1	-2472.95	138.47	266.14	-0.09	0.987541	0.150495	-0.045986	-7.696	48.583	4.992
1.23000	1	-2426.39	177.90	49.55	1	-2464.60	137.23	269.18	0.00	0.987666	0.150132	-0.044463	-7.850	49.734	4.826
1.23500	1	-2416.17	176.84	53.31	1	-2456.06	136.04	272.03	0.00	0.987805	0.149563	-0.043267	-8.008	50.845	4.704
1.24000	1	-2405.64	175.73	56.83	1	-2447.38	134.88	274.43	-0.09	0.987963	0.148858	-0.042064	-8.146	51.904	4.577
1.24500	1	-2395.44	174.58	59.96	1	-2438.49	133.72	276.55	0.03	0.988133	0.148020	-0.041029	-8.285	52.915	4.456
1.25000	1	-2385.68	173.44	62.67	1	-2429.35	132.61	278.51	-0.09	0.988314	0.147099	-0.039966	-8.429	53.877	4.387
1.25500	0	-2375.14	172.28	64.77	1	-2419.99	131.52	280.21	0.00	0.988517	0.145976	-0.039058	-8.566	54.796	4.372
1.26000	0	-2364.60	171.12	66.86	1	-2410.44	130.45	281.64	-0.09	0.988738	0.144740	-0.038035	-8.685	55.672	4.388
1.26500	1	-2354.07	169.96	68.96	1	-2400.63	129.44	282.96	-0.09	0.988956	0.143423	-0.037352	-8.793	56.506	4.436
1.27000	1	-2342.10	168.89	70.53	1	-2390.63	128.46	284.01	-0.09	0.989187	0.142012	-0.036642	-8.896	57.289	4.441
1.27500	1	-2329.44	167.86	71.64	1	-2380.47	127.48	284.71	0.00	0.989411	0.140522	-0.036327	-8.987	58.043	4.493
1.28000	1	-2316.02	166.87	72.15	1	-2370.14	126.52	285.15	0.00	0.989631	0.139040	-0.036038	-9.093	58.747	4.586
